jet1_mass,jet1_pt,jet1_eta,jet1_phi,jet1_btag,jet2_mass,jet2_pt,jet2_eta,jet2_phi,jet2_btag,lep1_mass,lep1_pt,lep1_eta,lep1_phi,lep1_charge,lep2_mass,lep2_pt,lep2_eta,lep2_phi,lep2_charge,dr_jj,dr_ll,H1_mass,H1_pt,H1_eta,H1_phi,H2_mass,H2_pt,H2_eta,H2_phi,HH_mass,HH_pt,HH_eta,HH_phi
20.265625,198.875,1.196533203125,-2.80859375,0.058135986328125,18.390625,127.5,1.53466796875,-0.25079345703125,0.380126953125,0.105712890625,43.43132019042969,0.405517578125,-0.8475341796875,-1,0.105712890625,15.342016220092773,0.13055419921875,0.876220703125,1,2.5800537704542705,1.74554740862558,39.83025955324798,43.80195243378894,0.44429321221147056,-0.4940492893939534,312.1685715850687,116.16188186870768,2.312749886909793,-2.158838030477467,400.46459729124274,120.23773422696237,2.312296118527574,-1.7876889090355412
12.0,81.9375,1.80517578125,-1.8212890625,0.01427459716796875,9.6171875,79.875,1.789794921875,-0.64501953125,0.0027141571044921875,0.105712890625,64.96135711669922,2.34912109375,1.379638671875,-1,0.105712890625,17.647157669067383,1.717529296875,2.62158203125,1,1.1763700867423519,1.3933167284488663,45.001186061627784,72.60762128011004,2.369454756208058,1.6117411740618217,92.36302513656584,134.62913767473336,1.973200534375894,-1.2416540150396815,244.3415523535787,68.21262862021499,3.228589642317195,-0.9343004337312973
7.55078125,68.5,2.1396484375,-1.25048828125,0.98095703125,7.82421875,64.1875,0.8936767578125,-2.78125,0.003444671630859375,0.105712890625,35.22069549560547,0.9434814453125,1.515625,1,0.105712890625,28.97658920288086,0.826416015625,-1.245849609375,-1,1.9737469103645848,2.7639548355663717,62.8542336385646,13.589868162586798,2.2712392566252344,0.6029906930958856,128.57103677794012,95.73005250760117,2.014015404040536,-1.984653909760857,218.29179704284564,84.4755319801751,2.300893492580313,-1.8999252717429072
12.90625,68.625,1.111572265625,0.45269775390625,0.11761474609375,7.19140625,44.78125,-0.233184814453125,-2.73388671875,0.0034618377685546875,0.105712890625,25.70876693725586,0.7701416015625,-1.4013671875,1,0.105712890625,19.25615882873535,1.85888671875,0.7073974609375,-1,3.458712506958934,2.3732370873343767,46.30981361778303,22.900186449481847,1.9887811215246614,-0.5945321519275001,138.3745393717381,23.97382232086352,1.9489058344236292,0.5368097938244615,197.1790395439772,39.576588877487495,2.132265397874234,-0.014320506983556927
8.609375,73.875,-0.891357421875,1.803955078125,0.01035308837890625,15.1875,71.3125,0.2474365234375,0.596923828125,0.01464080810546875,0.105712890625,24.342594146728516,-2.126953125,-0.86181640625,1,0.105712890625,18.96923828125,-1.712646484375,2.43359375,-1,1.6594505380869211,3.321351846821053,43.77886711719405,6.3068693565226,-3.872695120394501,-1.340731251471181,122.78030663451761,119.54831349399691,-0.4610841445731374,1.212604898931993,240.76401764841984,114.35513563628858,-1.3621954396374063,1.1819958627629492
12.1171875,77.6875,-1.802734375,-1.919921875,0.98193359375,8.0703125,55.96875,-0.540771484375,0.31341552734375,0.1875,0.105712890625,22.086681365966797,0.46636962890625,-0.5909423828125,1,0.105712890625,15.500810623168945,-0.175262451171875,0.901123046875,-1,2.5652185657409654,1.6241770139531977,27.87053099323061,27.96336529722176,0.2805140623246607,-0.005451551609945407,149.7808575033187,61.79527655976701,-2.1475479091350063,-1.1245951098279643,224.9321509782582,78.16003810690067,-1.8910038772546098,-0.7968638437886183
9.8203125,146.375,0.18798828125,-1.615966796875,0.99951171875,16.421875,84.6875,-1.50634765625,1.150146484375,0.01548004150390625,0.105712890625,49.99430465698242,0.6202392578125,-2.583984375,1,0.105712890625,26.892898559570312,-1.58349609375,0.7340087890625,-1,3.243787439677829,3.9831555501250233,122.37313674709137,23.987566113950376,-1.040567294816321,-2.782018008688265,305.7961437816755,74.38129369662462,-1.4741767052041206,-1.1852406399376132,435.03194250130105,77.55822650440473,-1.596909157723989,-1.4995715500051572
10.8828125,77.875,1.0234375,1.740966796875,0.9990234375,10.703125,53.21875,0.182647705078125,-2.71923828125,0.00920867919921875,0.105712890625,27.926244735717773,-1.02490234375,-1.808837890625,-1,0.105712890625,19.09720230102539,0.8404541015625,0.3802490234375,1,4.5387615952125975,2.876048710538221,64.38285442479314,22.941572655739215,-0.6467822901167207,-1.0633629806183986,118.34853175896862,82.63491811001411,1.0539378471328988,2.4143726779202734,223.65263714631521,61.4450463838877,1.1587797085447449,2.5378407604163025
10.234375,54.1875,1.1201171875,-0.7552490234375,0.978515625,6.3671875,49.40625,-0.29351806640625,2.4765625,0.0193328857421875,0.105712890625,32.09451675415039,0.51611328125,-2.70458984375,-1,0.105712890625,25.713748931884766,-0.15020751953125,1.74365234375,1,3.5274594758990503,4.497870826091892,49.615364887167324,35.50101740544624,0.3698832619885987,2.8043344427309065,131.39941904507657,6.681055706821018,2.882955790686684,-1.4844335329354919,190.6957514971455,33.3161053313197,1.525124407294789,2.988177580036702
10.96875,102.0,0.3260498046875,0.199676513671875,0.06365966796875,14.140625,92.5,0.37432861328125,-1.41748046875,0.97119140625,0.105712890625,49.631126403808594,-0.0363311767578125,2.25390625,1,0.105712890625,11.563599586486816,-0.064422607421875,0.6806640625,-1,1.6178774827393625,1.5734929643968985,33.928780523719674,50.932878542180525,-0.05002591175425523,2.024873773928202,142.87880825153985,134.48322487677927,0.49478826282123706,-0.5577847964177103,242.9506901517596,95.21238714165383,0.6534535455484906,-0.27016638080618266
13.2421875,82.25,0.925537109375,0.5386962890625,0.98828125,8.359375,51.28125,0.8209228515625,-1.277099609375,0.01024627685546875,0.105712890625,31.30188751220703,0.5321044921875,2.59765625,1,0.105712890625,15.290010452270508,0.21429443359375,0.860595703125,-1,1.8188069957310227,1.7658942711422552,34.123777069412775,32.48345197279104,0.6019219331501435,2.1149131921092246,104.85965968212176,85.72446733808304,1.2321591594280237,-0.08045732454721427,171.7140839575694,71.74418109874998,1.5144135739967297,0.29563714554066545
11.1953125,71.8125,1.2216796875,2.12451171875,0.052215576171875,12.4140625,53.75,1.933349609375,-0.148345947265625,0.01385498046875,0.105712890625,30.305946350097656,0.9530029296875,-1.900634765625,-1,0.105712890625,11.239717483520508,2.06103515625,0.43695068359375,1,2.3816708520842176,2.5868979777912147,40.208987491081274,23.918716295383078,1.8840925176752987,-1.5554142186748203,123.73618204323003,55.32338786557118,2.3693622881935834,1.2887635750967206,180.31890253158414,33.20306117355358,3.1060464001549044,1.076057146525081
9.796875,71.0625,2.19873046875,-0.7093505859375,0.59912109375,9.8828125,65.0,0.7698974609375,-1.479736328125,0.0318603515625,0.105712890625,31.050851821899414,-0.1527099609375,0.40386962890625,-1,0.105712890625,10.648401260375977,0.076934814453125,-2.40966796875,1,1.6232861596096668,2.8228940001866016,36.12304992678811,21.249134771517035,-0.18438150449416893,0.24169710517070417,119.7726059847504,126.11322775830314,1.8010452638533712,-1.076480048199817,227.52723401134514,133.02501062006266,1.740630768663057,-0.9211886598460924
6.9921875,53.34375,0.674072265625,-0.2943115234375,0.00749969482421875,6.20703125,52.9375,-0.69677734375,-0.59716796875,0.8935546875,0.105712890625,41.636653900146484,-1.951416015625,1.666259765625,-1,0.105712890625,10.967818260192871,-0.629638671875,-2.3017578125,1,1.4039055089253385,4.182374785544667,49.53014744326666,35.14422438956485,-2.1638957455603682,1.8978641547262833,81.38514958839038,105.0650531215364,-0.011425978397109748,-0.4451564609659306,238.9888933952722,84.38685427458707,-1.351881392265093,-0.14220398551033692
18.140625,209.0,-0.9820556640625,-3.00927734375,0.9970703125,20.15625,178.5,1.68359375,-0.145294189453125,0.99755859375,0.105712890625,37.143775939941406,-0.22430419921875,2.17333984375,1,0.105712890625,27.824642181396484,1.3916015625,1.046875,-1,3.9125549589479287,1.9697904647349083,67.2159947902679,55.15786749528011,0.7320721829010286,1.7004384092534421,782.4492028155622,61.5380699128823,2.004166513053346,-2.0903637704941014,872.660577275095,37.70636791554843,2.6601068026595187,3.107696486136219
12.6875,92.125,0.2884521484375,2.0595703125,0.1131591796875,11.1015625,49.90625,1.790771484375,2.85595703125,0.01528167724609375,0.105712890625,28.731111526489258,1.459716796875,-0.633544921875,1,0.105712890625,22.094581604003906,-0.888427734375,-0.5706787109375,-1,1.700351490996224,2.348985930165807,73.7395996353575,50.80101445276853,0.6627416602389613,-0.6062175017541662,125.9550736855596,131.93868915145285,1.0822869842820493,2.3333667015399433,265.3966462662546,82.8004224218757,1.6541070556895927,2.2099555030722438
16.109375,127.8125,0.6485595703125,-3.00830078125,0.29248046875,8.6015625,52.46875,-0.1561279296875,-1.42724609375,0.0139617919921875,0.105712890625,40.70271301269531,1.0830078125,1.609130859375,-1,0.105712890625,15.553646087646484,0.3114013671875,0.42926025390625,1,1.7740507031993118,1.4097769866532035,34.347582002193825,48.79637945936717,1.010513240456385,1.3099906940927455,137.00410040929168,137.66415232816874,0.5563592605704546,-2.6172978525161392,234.76171143102803,108.79033714565216,1.0633214279921923,-2.940133765478892
27.828125,139.375,1.06591796875,0.235015869140625,0.71484375,13.578125,103.9375,-1.010498046875,2.50830078125,0.93359375,0.105712890625,29.331979751586914,0.349609375,1.646240234375,-1,0.105712890625,11.33891773223877,-0.7861328125,-2.298828125,1,3.078851695286431,4.105298366332104,40.05215253905185,22.95992139417332,0.026307618750191327,2.0096518290319425,371.27573155465706,107.27842014516597,0.48836657255936156,1.0672949048380604,415.36414186861566,122.19595591371208,0.43690510895883244,1.2198826500257332
9.7109375,73.875,-1.7412109375,1.843505859375,0.0994873046875,8.0625,48.5625,-2.1416015625,-0.8016357421875,0.9755859375,0.105712890625,34.90225601196289,0.029338836669921875,-2.37060546875,-1,0.105712890625,12.785279273986816,-1.694580078125,1.19091796875,1,2.6752732093946063,3.956810030902358,58.2783435559599,23.80548261277003,-1.1202221848698186,-2.591357165165022,119.93560118303333,38.81897356405082,-3.0479575814815925,1.2051686413105858,230.64152521289466,24.654011728661928,-3.577322163138456,1.833928607225852
10.125,82.5,2.05615234375,-1.802490234375,0.01531219482421875,8.625,53.9375,2.28369140625,2.28759765625,0.9072265625,0.105712890625,44.27088928222656,0.5562744140625,-0.900390625,1,0.105712890625,13.760684967041016,2.3408203125,3.08935546875,-1,4.0964122080182115,4.37066104339189,67.35753798201644,36.65322210350933,1.6977652174023612,-1.1858460603424643,121.12175031349062,67.28906936160404,2.848841015038816,-2.511805538784908,230.1640928983442,84.06521159227034,2.7812342149713256,-2.0750450990924167
10.2265625,86.4375,-1.042724609375,-2.67041015625,0.99951171875,16.96875,80.375,-0.7340087890625,-1.6025390625,0.00835418701171875,0.105712890625,26.554582595825195,-1.341796875,0.4765625,1,0.105712890625,14.866025924682617,-1.75927734375,-0.532470703125,-1,1.1115998068450899,1.0919880708123222,20.947871859779855,36.697501842139346,-1.621386388065043,0.12662396188490532,93.3776259839127,143.6271520834073,-1.0135638969151506,-2.157957980221442,182.4991890610167,122.7759576496512,-1.4986440077833045,-1.9300565138930996
26.203125,164.375,1.754638671875,0.6439208984375,0.0159759521484375,11.5234375,73.0,1.7490234375,1.946533203125,0.30029296875,0.105712890625,27.854551315307617,1.058349609375,-1.294921875,1,0.105712890625,18.567562103271484,1.19482421875,-2.1015625,-1,1.3026244075635796,0.8181041601803828,18.12065153407603,42.85263228104379,1.1801025340931788,-1.613082545373813,138.06961929216249,196.74183303957062,1.931414346246301,1.00981156837837,246.90442560831653,160.9341557097938,2.213890975924574,0.8774195858125855
15.9375,106.625,-1.95556640625,-0.5628662109375,0.01404571533203125,12.7265625,104.875,-1.1865234375,0.27435302734375,0.9990234375,0.105712890625,21.068584442138672,0.610107421875,-2.79833984375,1,0.105712890625,11.548431396484375,0.9959716796875,-2.32421875,-1,1.1368215078595452,0.6112953762264914,9.507949805339095,31.783533125802926,0.774842909672724,-2.6316812138148626,123.32153342533088,193.2393418171559,-1.7249297791598714,-0.1479378298221651,320.4293662590123,169.208352030876,-1.8000353462549612,-0.26303822003434496
12.0546875,122.1875,-0.05517578125,1.090576171875,0.00213623046875,10.8984375,114.0625,0.189910888671875,0.03624725341796875,0.9990234375,0.105712890625,64.60612487792969,0.71044921875,2.8349609375,1,0.105712890625,13.13775634765625,-0.3756103515625,-2.24072265625,-1,1.082440272748648,5.190576975070333,46.88205417784878,70.35473940963094,0.6001925439443017,3.0104075086374134,124.41070862362386,204.21691753429306,0.07361467085352263,0.5834288440976098,289.6285925627264,157.95338102581195,0.37040983711475345,0.8796329287951277
21.78125,195.0,-1.716552734375,-2.74560546875,0.26220703125,13.8125,83.625,-0.697998046875,0.177215576171875,0.0072174072265625,0.105712890625,72.0155258178711,-0.018123626708984375,0.40789794921875,1,0.105712890625,10.069512367248535,-0.40484619140625,-1.3720703125,-1,3.095211868687897,1.8214942642709857,43.14381845524045,70.61495341036192,-0.07772582228432805,0.26795231287432164,290.94949406868176,114.81178680481896,-2.3365204021765527,-2.5868618363285893,454.0036392172149,51.14267624667933,-3.146952020365467,-2.185619285743135
21.4375,79.375,-0.62255859375,2.2900390625,0.54541015625,10.140625,78.125,0.207855224609375,1.8798828125,0.0294036865234375,0.105712890625,43.848876953125,-1.82421875,-1.231689453125,1,0.105712890625,13.795795440673828,1.192626953125,0.8966064453125,-1,0.9261831671630939,3.6920186115145275,114.13395255154796,38.37905678064568,-1.78981151781535,-0.921717294866531,81.3902855802701,154.1998098716766,-0.2333768619923685,2.086611748070766,285.96500038536556,116.27291624637274,-1.0619202273486297,2.042740456958907
18.515625,79.9375,-1.42529296875,-3.07666015625,0.072509765625,13.625,65.3125,-1.79248046875,1.22314453125,0.98193359375,0.105712890625,36.313175201416016,-1.924560546875,-1.894287109375,-1,0.105712890625,19.113628387451172,0.25897216796875,-2.80029296875,1,4.315454438503925,2.364035053465737,73.37355108256088,50.40159829299316,-1.5768451197493007,-2.1973750627658104,128.15465582079563,80.42871996659774,-2.1690070786197007,2.367618292758073,230.5129347085497,88.42181013283985,-2.3599115095664622,2.966637225893991
10.1328125,73.9375,0.688720703125,1.619873046875,0.0015630722045898438,10.2265625,69.3125,1.950439453125,3.0419921875,0.004291534423828125,0.105712890625,51.06858825683594,1.607177734375,-1.13623046875,-1,0.105712890625,19.369808197021484,2.1953125,-0.45263671875,1,1.901146247460608,0.9017776430893795,28.22609511684326,67.20894322193547,1.848856882298459,-0.9531859019960908,136.21081507212116,108.57830427134046,1.721127879712331,2.3031293207235164,249.39740842700527,42.51308285246012,3.163714417451611,2.485099290992828
15.9765625,150.5,-1.7705078125,-1.885009765625,0.009185791015625,13.9765625,121.875,1.53515625,2.67529296875,0.0027065277099609375,0.105712890625,86.49467468261719,-1.171142578125,0.068450927734375,1,0.105712890625,30.670642852783203,-1.599365234375,1.52685546875,-1,5.632386343571622,1.5199731736385356,72.1430991270494,94.95830097065259,-1.485181721201301,0.3951862633421716,712.2338832673375,178.73460735683364,-0.8029759814865107,-2.6246282229154057,911.7465228253826,85.26345647060435,-2.1427788037443927,-2.4889221439836646
14.34375,147.25,-1.68994140625,2.2529296875,0.005954742431640625,12.203125,94.625,-0.9639892578125,2.58837890625,0.00632476806640625,0.105712890625,40.94282150268555,-1.49755859375,0.117156982421875,-1,0.105712890625,34.55027389526367,-1.290771484375,-2.04296875,1,0.7997078842808838,2.1700009420446826,66.80109412064624,36.021829555540336,-2.10082248662761,-0.8057393707998542,100.40830877978365,238.642569395313,-1.4698075138318587,2.3838328388229986,266.48965570699636,202.66955746076837,-1.8618592995005638,2.3923574011970037
11.0390625,92.5625,0.3309326171875,1.83984375,0.97607421875,5.578125,42.875,1.150146484375,-1.50537109375,0.07098388671875,0.105712890625,31.07856559753418,-0.39093017578125,-3.02490234375,1,0.105712890625,20.626550674438477,2.35302734375,-0.4879150390625,-1,3.4440635463123552,3.737058663325696,105.18221611737732,18.34460980881214,2.347156048880761,-2.3315136197575432,137.15984610753677,51.31107771360865,1.3481761506323995,2.0096295697071413,250.01691731588747,47.816329723402056,2.0736109206073703,2.3752318537474406
15.9140625,67.4375,-1.0439453125,-0.813720703125,0.220703125,8.6875,64.3125,2.25439453125,3.1376953125,0.0108489990234375,0.105712890625,32.99594497680664,1.784423828125,0.104461669921875,1,0.105712890625,20.767290115356445,-1.16748046875,1.96435546875,-1,5.147109310419444,3.4889746231276035,116.37700639709537,33.605184130911375,1.4186475239368013,0.73841384092549,353.01104882478324,51.98069506841589,2.1458335247420512,-1.9243200660209472,477.37394775555185,27.02997396027507,3.049215013037741,-1.314340217523832
15.6015625,89.8125,-0.572265625,2.986328125,0.7958984375,7.3203125,74.6875,-0.20269775390625,-2.17333984375,0.01410675048828125,0.105712890625,53.13221740722656,-0.1116790771484375,-0.152374267578125,-1,0.105712890625,24.13985824584961,1.15234375,-0.712158203125,1,5.172886424336951,1.382429658987638,52.23664822644042,74.69568638094925,0.3722196556272407,-0.3248354131603114,95.326556338987,139.4525060517749,-0.4797028592799266,-2.7929046051002926,258.71894509460964,93.5027994819715,-0.4259358944658718,-2.2712858044153874
10.4375,62.875,-0.9678955078125,-2.52099609375,0.01409912109375,7.5546875,41.59375,-2.12109375,0.19708251953125,0.98486328125,0.105712890625,27.497554779052734,1.710205078125,1.630859375,-1,0.105712890625,19.824596405029297,-0.2769775390625,2.4296875,1,2.9525950507581062,2.141733206387569,57.36699546760945,43.69936740430347,1.2252845352676074,1.9619389760065888,119.49151795376693,30.248908948978908,-2.7755694226768317,-1.920442361014782,325.8609339541124,29.559031111100442,-2.471742109535653,2.724286208822786
13.75,70.1875,0.23065185546875,-2.47900390625,0.45849609375,7.109375,54.6875,1.661376953125,0.258544921875,0.0682373046875,0.105712890625,49.177642822265625,-0.7088623046875,-2.21728515625,-1,0.105712890625,12.98946475982666,0.7401123046875,0.60986328125,1,3.088874858493307,3.176837374854452,63.91754058778213,37.043570520958326,-0.6835200089678065,-2.1086184440265883,157.0985508944569,29.298332828180126,2.3687961660345542,-1.6550694014254486,265.3059840364488,64.66678076277019,1.433049823251531,-1.9087761010649154
8.03125,74.1875,1.15771484375,0.6622314453125,0.0029659271240234375,8.953125,70.625,1.27880859375,2.69287109375,0.74072265625,0.105712890625,64.60684967041016,-0.38763427734375,-2.25830078125,-1,0.105712890625,13.766718864440918,-1.337890625,0.137115478515625,1,2.0342470543410984,2.5770149754726943,62.85313429078654,55.29355369115713,-0.8134011904226592,-2.0884723061317576,124.47995299314596,76.4265773672146,1.793946428404542,1.6379358970393434,317.75238157311037,43.02528535591088,2.1015869662770896,2.426662424196656
8.71875,67.125,1.384033203125,-1.9453125,0.0022983551025390625,9.4140625,57.875,1.31201171875,2.75927734375,0.0275115966796875,0.105712890625,23.45895767211914,-0.33856201171875,1.6806640625,-1,0.105712890625,14.697327613830566,-0.538330078125,0.35595703125,1,4.705141091628096,1.339685037237813,23.139401006501142,30.566678262674884,-0.5134919113216221,1.1955126803544942,90.477013627296,88.2875119491558,1.6659529983941528,-2.6601686459981897,204.25856942243897,68.19317936607163,1.8379003044261013,-2.9581207366505033
11.7421875,63.71875,0.32391357421875,-2.2421875,0.71240234375,7.703125,58.40625,-0.2890625,2.43994140625,0.033935546875,0.105712890625,48.03181457519531,-1.063720703125,-0.819091796875,-1,0.105712890625,15.53335952758789,0.66650390625,1.154296875,1,4.722083307429725,2.624488530965881,70.18811167176703,44.31357588410331,-0.9715217040961502,-0.49071488550993825,97.46033048017556,85.12445798633834,0.04560002051204998,-2.997908544619351,214.4780308018854,55.9771799382304,-0.7532654204978354,-2.5095263610650473
